Start Latitude [degrees],Start Longitude [degrees],CTD Depth [m],Start Time [UTC]
44.5145,-125.38883,49.918,2015-07-06 15:59:45+00:00
44.5145,-125.38883,99.872,2015-07-06 15:59:45+00:00
44.5145,-125.38883,100.194,2015-07-06 15:59:45+00:00
44.5145,-125.38883,149.423,2015-07-06 15:59:45+00:00
44.5145,-125.38883,150.277,2015-07-06 15:59:45+00:00
44.5145,-125.38883,199.451,2015-07-06 15:59:45+00:00
44.5145,-125.38883,199.945,2015-07-06 15:59:45+00:00
44.5145,-125.38883,250.046,2015-07-06 15:59:45+00:00
44.5145,-125.38883,250.432,2015-07-06 15:59:45+00:00
44.5145,-125.38883,499.562,2015-07-06 15:59:45+00:00
44.5145,-125.38883,500.405,2015-07-06 15:59:45+00:00
44.5145,-125.38883,750.078,2015-07-06 15:59:45+00:00
44.5145,-125.38883,750.77,2015-07-06 15:59:45+00:00
44.5145,-125.38883,999.816,2015-07-06 15:59:45+00:00
44.5145,-125.38883,1000.08,2015-07-06 15:59:45+00:00
44.529,-125.3925,10.011,2015-07-07 04:00:12+00:00
44.529,-125.3925,20.184,2015-07-07 04:00:12+00:00
44.529,-125.3925,40.046,2015-07-07 04:00:12+00:00
44.529,-125.3925,60.53,2015-07-07 04:00:12+00:00
44.529,-125.3925,80.037,2015-07-07 04:00:12+00:00
44.529,-125.3925,99.966,2015-07-07 04:00:12+00:00
44.529,-125.3925,120.463,2015-07-07 04:00:12+00:00
44.529,-125.3925,139.713,2015-07-07 04:00:12+00:00
44.529,-125.3925,159.901,2015-07-07 04:00:12+00:00
44.529,-125.3925,179.527,2015-07-07 04:00:12+00:00
44.529,-125.3925,199.664,2015-07-07 04:00:12+00:00
44.529,-125.3925,219.993,2015-07-07 04:00:12+00:00
45.83033,-129.7565,9.947,2015-07-08 16:56:17+00:00
45.83033,-129.7565,10.008,2015-07-08 16:56:17+00:00
45.83033,-129.7565,20.034,2015-07-08 16:56:17+00:00
